ciudad,depto_key,regional,leads
Santa Marta,SANTA MARTA MAGDALENA,Sin regional,9
TURBACO,BOLIVAR,Costa atlantica,9
Tunja,TUNJA BOYACA,Sin regional,9
AGUAZUL,CASANARE,Resto del pais,8
ANSERMA,CALDAS,Antioquia y eje,8
Armenia,ARMENIA QUINDIO,Sin regional,8
CAICEDONIA,VALLE DEL CAUCA,Occidente y centro,8
CHINCHINÁ,CALDAS,Antioquia y eje,8
CONCORDIA,ANTIOQUIA,Antioquia y eje,8
GARZÓN,HUILA,Occidente y centro,8
GRANADA,META,Oriente,8
GUATAPE,ANTIOQUIA,Antioquia y eje,8
Itagüí,ITAGUI ANTIOQUIA,Sin regional,8
PLANETA RICA,CORDOBA,Costa atlantica,8
Pasto,PASTO NARINO,Sin regional,8
ROLDANILLO,VALLE DEL CAUCA,Occidente y centro,8
SAN FRANCISCO,CUNDINAMARCA,Bogota,8
SEVILLA,VALLE DEL CAUCA,Occidente y centro,8
Tuluá,TULUA VALLE DEL CAUCA,Sin regional,8
VILLAMARÍA,CALDAS,Antioquia y eje,8
ABREGO,NORTE DE SANTANDER,Oriente,7
ANAPOIMA,CUNDINAMARCA,Bogota,7
ANDES,ANTIOQUIA,Antioquia y eje,7
BOSCONIA,CESAR,Costa atlantica,7
Cota,COTA CUNDINAMARCA,Sin regional,7
ESPINAL,TOLIMA,Occidente y centro,7
JARDÍN,ANTIOQUIA,Antioquia y eje,7
LA UNIÓN,ANTIOQUIA,Antioquia y eje,7
MALAMBO,ATLANTICO,Costa atlantica,7
Madrid,MADRID CUNDINAMARCA,Sin regional,7
NOBSA,BOYACA,Oriente,7
PUERTO ASÍS,PUTUMAYO,Resto del pais,7
PUERTO BERRÍO,ANTIOQUIA,Antioquia y eje,7
PUERTO SALGAR,CUNDINAMARCA,Bogota,7
QUIMBAYA,QUINDIO,Antioquia y eje,7
SAN JUAN DEL CESAR,LA GUAJIRA,Costa atlantica,7
Yumbo,YUMBO VALLE DEL CAUCA,Sin regional,7
ABRIAQUÍ,ANTIOQUIA,Antioquia y eje,6
BOYACÁ,BOYACA,Oriente,6
BUGALAGRANDE,VALLE DEL CAUCA,Occidente y centro,6
Barrancabermeja,BARRANCABERMEJA SANTANDER,Sin regional,6
CAREPA,ANTIOQUIA,Antioquia y eje,6
CERETÉ,CORDOBA,Costa atlantica,6
CHOCONTÁ,CUNDINAMARCA,Bogota,6
CIUDAD BOLÍVAR,ANTIOQUIA,Antioquia y eje,6
CUMARAL,META,Oriente,6
Cartago,CARTAGO VALLE DEL CAUCA,Sin regional,6
Dosquebradas,DOSQUEBRADAS RISARALDA,Sin regional,6
EL BANCO,MAGDALENA,Costa atlantica,6
EL ROSAL,CUNDINAMARCA,Bogota,6
GINEBRA,VALLE DEL CAUCA,Occidente y centro,6
LOS PATIOS,NORTE DE SANTANDER,Oriente,6
LÍBANO,TOLIMA,Occidente y centro,6
PIENDAMÓ,CAUCA,Occidente y centro,6
PUERTO TEJADA,CAUCA,Occidente y centro,6
RICAURTE,CUNDINAMARCA,Bogota,6
SAN PEDRO,ANTIOQUIA,Antioquia y eje,6
SAN VICENTE,ANTIOQUIA,Antioquia y eje,6
SANTANDER,BUCARAMANGA,Sin regional,6
Sabaneta,SABANETA ANTIOQUIA,Sin regional,6
TURBO,ANTIOQUIA,Antioquia y eje,6
VEGACHÍ,ANTIOQUIA,Antioquia y eje,6
VILLA DE LEYVA,BOYACA,Oriente,6
VILLA DEL ROSARIO,NORTE DE SANTANDER,Oriente,6
ALCALÁ,VALLE DEL CAUCA,Occidente y centro,5
AMAGÁ,ANTIOQUIA,Antioquia y eje,5
AMALFI,ANTIOQUIA,Antioquia y eje,5
ANDALUCÍA,VALLE DEL CAUCA,Occidente y centro,5
BARICHARA,SANTANDER,Oriente,5
BELÉN DE UMBRÍA,RISARALDA,Antioquia y eje,5
COROZAL,SUCRE,Costa atlantica,5
FONSECA,LA GUAJIRA,Costa atlantica,5
FREDONIA,ANTIOQUIA,Antioquia y eje,5
FUNDACIÓN,MAGDALENA,Costa atlantica,5
Fusagasugá,FUSAGASUGA CUNDINAMARCA,Sin regional,5
GARAGOA,BOYACA,Oriente,5
GUAMAL,META,Oriente,5
ITAGÜÍ,ANTIOQUIA,Antioquia y eje,5
LA PLATA,HUILA,Occidente y centro,5
LA TEBAIDA,QUINDIO,Antioquia y eje,5
PACHO,CUNDINAMARCA,Bogota,5
PAZ DE ARIPORO,CASANARE,Resto del pais,5
SABANAGRANDE,ATLANTICO,Costa atlantica,5
SAN JOSÉ DEL GUAVIARE,GUAVIARE,Resto del pais,5
TAURAMENA,CASANARE,Resto del pais,5
VILLANUEVA,CASANARE,Resto del pais,5
VILLAPINZÓN,CUNDINAMARCA,Bogota,5
VÉLEZ,SANTANDER,Oriente,5
AGUSTÍN CODAZZI,CESAR,Costa atlantica,4
BARRANCA DE UPÍA,META,Oriente,4
CHAPARRAL,TOLIMA,Occidente y centro,4
CISNEROS,ANTIOQUIA,Antioquia y eje,4
Duitama,DUITAMA BOYACA,Sin regional,4
EL CARMEN DE ATRATO,CHOCO,Resto del pais,4
EL COLEGIO,CUNDINAMARCA,Bogota,4
Florencia,FLORENCIA CAQUETA,Sin regional,4
GACHANCIPÁ,CUNDINAMARCA,Bogota,4
GUASCA,CUNDINAMARCA,Bogota,4
JERICÓ,ANTIOQUIA,Antioquia y eje,4
LA JAGUA DE IBIRICO,CESAR,Costa atlantica,4
LA VEGA,CUNDINAMARCA,Bogota,4
LA VICTORIA,VALLE DEL CAUCA,Occidente y centro,4
LA VIRGINIA,RISARALDA,Antioquia y eje,4
Montería,MONTERIA CORDOBA,Sin regional,4
Neiva,NEIVA HUILA,Sin regional,4
PEÑOL,ANTIOQUIA,Antioquia y eje,4
PUERTO TRIUNFO,ANTIOQUIA,Antioquia y eje,4
Retiro,RETIRO ANTIOQUIA,Sin regional,4
SAHAGÚN,CORDOBA,Costa atlantica,4
SAN ROQUE,ANTIOQUIA,Antioquia y eje,4
SIBATÉ,CUNDINAMARCA,Bogota,4
SUPÍA,CALDAS,Antioquia y eje,4
Sincelejo,SINCELEJO SUCRE,Sin regional,4
YOLOMBÓ,ANTIOQUIA,Antioquia y eje,4
ACEVEDO,HUILA,Occidente y centro,3
ALBANIA,LA GUAJIRA,Costa atlantica,3
BARANOA,ATLANTICO,Costa atlantica,3
BELÉN DE LOS ANDAQUIES,CAQUETA,Resto del pais,3
BOGOTA,BOGOTA D C,Bogota,3
BOJACÁ,CUNDINAMARCA,Bogota,3
Barbosa,BARBOSA ANTIOQUIA,Sin regional,3
CALAMAR,BOLIVAR,Costa atlantica,3
CAQUEZA,CUNDINAMARCA,Bogota,3
CAÑASGORDAS,ANTIOQUIA,Antioquia y eje,3
CHIGORODÓ,ANTIOQUIA,Antioquia y eje,3
COCORNÁ,ANTIOQUIA,Antioquia y eje,3
COGUA,CUNDINAMARCA,Bogota,3
CURITÍ,SANTANDER,Oriente,3
CURUMANÍ,CESAR,Costa atlantica,3
Copacabana,COPACABANA ANTIOQUIA,Sin regional,3
DON MATÍAS,ANTIOQUIA,Antioquia y eje,3
ENTRERRIOS,ANTIOQUIA,Antioquia y eje,3
FLANDES,TOLIMA,Occidente y centro,3
FOMEQUE,CUNDINAMARCA,Bogota,3
GIGANTE,HUILA,Occidente y centro,3
GRANADA,ANTIOQUIA,Antioquia y eje,3
GUAMO,TOLIMA,Occidente y centro,3
GUATEQUE,BOYACA,Oriente,3
LORICA,CORDOBA,Costa atlantica,3
La Ceja,LA CEJA ANTIOQUIA,Sin regional,3
MARSELLA,RISARALDA,Antioquia y eje,3
MONIQUIRÁ,BOYACA,Oriente,3
NILO,CUNDINAMARCA,Bogota,3
PALMIRA,NA,Sin regional,3
RIOSUCIO,CALDAS,Antioquia y eje,3
RIVERA,HUILA,Occidente y centro,3
SABANALARGA,ATLANTICO,Costa atlantica,3
SABOYÁ,BOYACA,Oriente,3
SALAMINA,CALDAS,Antioquia y eje,3
SAN AGUSTÍN,HUILA,Occidente y centro,3
SAN CARLOS,ANTIOQUIA,Antioquia y eje,3
SAN JERÓNIMO,ANTIOQUIA,Antioquia y eje,3
SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,Antioquia y eje,3
SEGOVIA,ANTIOQUIA,Antioquia y eje,3
SOPETRÁN,ANTIOQUIA,Antioquia y eje,3
SUAITA,SANTANDER,Oriente,3
Soacha,SOACHA CUNDINAMARCA,Sin regional,3
Sogamoso,SOGAMOSO BOYACA,Sin regional,3
Soledad,SOLEDAD ATLANTICO,Sin regional,3
TENA,CUNDINAMARCA,Bogota,3
URRAO,ANTIOQUIA,Antioquia y eje,3
VILLAVIEJA,HUILA,Occidente y centro,3
Valledupar,VALLEDUPAR CESAR,Sin regional,3
YOTOCO,VALLE DEL CAUCA,Occidente y centro,3
