ciudad,depto_key,regional,leads
AQUITANIA,BOYACA,Oriente,1
ARBELÁEZ,CUNDINAMARCA,Bogota,1
ARBOLEDA,NARINO,Occidente y centro,1
ARBOLEDAS,NORTE DE SANTANDER,Oriente,1
ARBOLETES,ANTIOQUIA,Antioquia y eje,1
ARIGUANÍ,MAGDALENA,Costa atlantica,1
ARJONA,BOLIVAR,Costa atlantica,1
ATACO,TOLIMA,Occidente y centro,1
Abejorral,ABEJORRAL ANTIOQUIA,Sin regional,1
Aguachica,AGUACHICA CESAR,Sin regional,1
Alvarado,ALVARADO TOLIMA,Sin regional,1
Anapoima,ANAPOIMA CUNDINAMARCA,Sin regional,1
BETANIA,ANTIOQUIA,Antioquia y eje,1
BETULIA,ANTIOQUIA,Antioquia y eje,1
BETÉITIVA,BOYACA,Oriente,1
BOLÍVAR,VALLE DEL CAUCA,Occidente y centro,1
BUCARASICA,NORTE DE SANTANDER,Oriente,1
BUENAVISTA,CORDOBA,Costa atlantica,1
BURITICÁ,ANTIOQUIA,Antioquia y eje,1
BUSBANZÁ,BOYACA,Oriente,1
Baranoa,BARANOA ATLANTICO,Sin regional,1
Barranco de Loba,BARRANCO DE LOBA BOLIVAR,Sin regional,1
Betulia,BETULIA SANTANDER,Sin regional,1
Bochalema,BOCHALEMA NORTE DE SANTANDER,Sin regional,1
Boyacá,BOYACA BOYACA,Sin regional,1
Bugalagrande,BUGALAGRANDE VALLE DEL CAUCA,Sin regional,1
CABRERA,CUNDINAMARCA,Bogota,1
CAJIBÍO,CAUCA,Occidente y centro,1
CALIFORNIA,SANTANDER,Oriente,1
CAMPAMENTO,ANTIOQUIA,Antioquia y eje,1
CARAMANTA,ANTIOQUIA,Antioquia y eje,1
CAROLINA,ANTIOQUIA,Antioquia y eje,1
CARTAGENA DEL CHAIRÁ,CAQUETA,Resto del pais,1
CERRITO,SANTANDER,Oriente,1
CHARALÁ,SANTANDER,Oriente,1
CHIPAQUE,CUNDINAMARCA,Bogota,1
CHIRIGUANÁ,CESAR,Costa atlantica,1
CHISCAS,BOYACA,Oriente,1
CHITAGÁ,NORTE DE SANTANDER,Oriente,1
CICUCO,BOLIVAR,Costa atlantica,1
CLEMENCIA,BOLIVAR,Costa atlantica,1
COLÓN,NARINO,Occidente y centro,1
CONCEPCIÓN,ANTIOQUIA,Antioquia y eje,1
CONDOTO,CHOCO,Resto del pais,1
COROMORO,SANTANDER,Oriente,1
