regional,ventas,participacion
Bogota,107778,0.4250122245532123
Antioquia y eje,58555,0.23090603656324432
Occidente y centro,32999,0.13012839724277173
Oriente,28067,0.11067952742243324
Costa atlantica,23166,0.0913529031342177
Resto del pais,3023,0.0119209110841207
