fuente_utm,medio_utm,campana_utm,leads,emitidos,perdidos,tasa_emision,participacion
Adwords,ppc,sem_allianz_canaldigital_trafico_diciembre,1,1,0,1,3.2e-5
Contact,janin rubio,quiero un seguro,1,1,0,1,3.2e-5
Facebook,meta,canal digital hogar,1,1,0,1,3.2e-5
Google,boton,quiero un seguro,1,1,0,1,3.2e-5
Google,catherine agudelo,performance max digital autos,1,1,0,1,3.2e-5
Google,luisa angulo,canal digital autos,1,1,0,1,3.2e-5
Web,cpc,canal digital hogar,1,1,0,1,3.2e-5
Adwords,pmax,performance max digital hogar,1,0,1,0,3.2e-5
Adwords,sin dato,sin dato,1,0,1,0,3.2e-5
Colserauto,boton,quiero un seguro,1,0,1,0,3.2e-5
Contact,adrianni arcia,sin dato,1,0,1,0,3.2e-5
Contact,adrianni_arcia,canal digital autos,1,0,1,0,3.2e-5
Contact,camilo_tavera,sin dato,1,0,1,0,3.2e-5
Contact,catherine agudelo,quiero un seguro,1,0,1,0,3.2e-5
Contact,colserauto,sin dato,1,0,1,0,3.2e-5
Contact,daniel obando,performance max digital autos,1,0,1,0,3.2e-5
Contact,daniel obando,quiero un seguro,1,0,1,0,3.2e-5
Contact,david jimenez,performance max digital autos,1,0,1,0,3.2e-5
Contact,erika cardona,canal digital autos,1,0,1,0,3.2e-5
Contact,ingrid sierra,performance max digital hogar,1,0,1,0,3.2e-5
Contact,ingrid sierra,quiero un seguro,1,0,1,0,3.2e-5
Contact,jhon saray,sin dato,1,0,1,0,3.2e-5
Contact,julian paez,quiero un seguro,1,0,1,0,3.2e-5
Contact,nataly chica,canal digital autos,1,0,1,0,3.2e-5
Contact,pmax competencia,performance max digital autos competencia,1,0,1,0,3.2e-5
Google,bayron acero,canal digital autos,1,0,1,0,3.2e-5
Google,catherine agudelo,always on seguros autos,1,0,1,0,3.2e-5
Google,cristian lopez,performance max digital autos,1,0,1,0,3.2e-5
Google,cristian lopez,performance max digital hogar,1,0,1,0,3.2e-5
Google,daniel obando,canal digital autos,1,0,1,0,3.2e-5
Google,display,temas canal digital autos,1,0,1,0,3.2e-5
Google,erika cardona,canal digital autos,1,0,1,0,3.2e-5
Google,ivan pedrozo,performance max digital autos,1,0,1,0,3.2e-5
Google,jonny ruz,performance max digital autos,1,0,1,0,3.2e-5
Google,julian paez,performance max digital autos,1,0,1,0,3.2e-5
Google,nataly chica,canal digital autos,1,0,1,0,3.2e-5
Google,sin dato,canal digital autos,1,0,1,0,3.2e-5
Orgánico,cpc,canal digital hogar,1,0,1,0,3.2e-5
Orgánico,ingrid sierra,sin dato,1,0,1,0,3.2e-5
Orgánico,julian paez,sin dato,1,0,1,0,3.2e-5
Referidos,cristian lopez,sin dato,1,0,1,0,3.2e-5
Web,david jimenez,quiero un seguro,1,0,1,0,3.2e-5
Web,luis valderrama,quiero un seguro,1,0,1,0,3.2e-5
Web,pmax,performance max digital hogar,1,0,1,0,3.2e-5
