fuente_utm,medio_utm,campana_utm,leads,emitidos,perdidos,tasa_emision,participacion
google,David Jimenez,performance max digital autos,2,1,1,0.5,6.4e-5
google,Luis Valderrama,performance max digital autos,2,1,1,0.5,6.4e-5
Contact,Erika Cardona,Sin dato,2,0,2,0,6.4e-5
Contact,Janin Rubio,Sin dato,2,0,2,0,6.4e-5
Orgánico,Cristian Lopez,Sin dato,2,0,2,0,6.4e-5
Orgánico,Jonny Ruz,Sin dato,2,0,2,0,6.4e-5
chatgpt.com,Sin dato,Sin dato,2,0,2,0,6.4e-5
contact,Catherine Agudelo,performance max digital autos,2,0,2,0,6.4e-5
contact,David Jimenez,canal digital autos,2,0,2,0,6.4e-5
contact,Ivan Pedrozo,canal digital autos,2,0,2,0,6.4e-5
contact,Luisa Angulo,Sin dato,2,0,2,0,6.4e-5
feria,Sin dato,Sin dato,2,0,2,0,6.4e-5
google,Ivan Pedrozo,canal digital autos,2,0,2,0,6.4e-5
google,Janin Rubio,performance max digital autos,2,0,2,0,6.4e-5
google,Jonny Ruz,canal digital autos,2,0,2,0,6.4e-5
google,search,always-on,2,0,2,0,6.4e-5
web,Cristian Lopez,quiero un seguro,2,0,2,0,6.4e-5
web,Julian Paez,quiero un seguro,2,0,2,0,6.4e-5
web,pmax,performance max digital autos,2,0,2,0,6.4e-5
Contact,ivan pedrozo,Sin dato,1,1,0,1,3.2e-5
Orgánico,ivan pedrozo,Sin dato,1,1,0,1,3.2e-5
adwords,ppc,SEM_Allianz_Canaldigital_Trafico_diciembre,1,1,0,1,3.2e-5
contact,Ivan Pedrozo,performance max digital autos,1,1,0,1,3.2e-5
contact,Janin Rubio,quiero un seguro,1,1,0,1,3.2e-5
facebook,meta,canal digital hogar,1,1,0,1,3.2e-5
google,Catherine Agudelo,performance max digital autos,1,1,0,1,3.2e-5
google,Luisa Angulo,canal digital autos,1,1,0,1,3.2e-5
google,boton,quiero un seguro,1,1,0,1,3.2e-5
web,Ivan Pedrozo,quiero un seguro,1,1,0,1,3.2e-5
web,cpc,canal digital hogar,1,1,0,1,3.2e-5
Colserauto,Sin dato,Sin dato,1,0,1,0,3.2e-5
Colserauto,boton,quiero un seguro,1,0,1,0,3.2e-5
Orgánico,Ingrid Sierra,Sin dato,1,0,1,0,3.2e-5
Orgánico,Julian Paez,Sin dato,1,0,1,0,3.2e-5
Orgánico,cpc,canal digital hogar,1,0,1,0,3.2e-5
adwords,Sin dato,Sin dato,1,0,1,0,3.2e-5
adwords,pmax,performance max digital hogar,1,0,1,0,3.2e-5
contact,Adrianni Arcia,Sin dato,1,0,1,0,3.2e-5
contact,Adrianni_Arcia,canal digital autos,1,0,1,0,3.2e-5
contact,Camilo_Tavera,Sin dato,1,0,1,0,3.2e-5
contact,Catherine Agudelo,quiero un seguro,1,0,1,0,3.2e-5
contact,Daniel Obando,performance max digital autos,1,0,1,0,3.2e-5
contact,Daniel Obando,quiero un seguro,1,0,1,0,3.2e-5
contact,David Jimenez,performance max digital autos,1,0,1,0,3.2e-5
contact,Erika Cardona,canal digital autos,1,0,1,0,3.2e-5
contact,Ingrid Sierra,performance max digital hogar,1,0,1,0,3.2e-5
contact,Ingrid Sierra,quiero un seguro,1,0,1,0,3.2e-5
contact,Ivan pedrozo,Sin dato,1,0,1,0,3.2e-5
contact,Ivan pedrozo,performance max digital autos,1,0,1,0,3.2e-5
contact,Jhon Saray,Sin dato,1,0,1,0,3.2e-5
contact,Julian Paez,quiero un seguro,1,0,1,0,3.2e-5
contact,Nataly Chica,canal digital autos,1,0,1,0,3.2e-5
contact,colserauto,Sin dato,1,0,1,0,3.2e-5
contact,pmax competencia,performance max digital autos competencia,1,0,1,0,3.2e-5
google,Bayron Acero,canal digital autos,1,0,1,0,3.2e-5
google,Catherine Agudelo,always on seguros autos,1,0,1,0,3.2e-5
google,Cristian Lopez,performance max digital autos,1,0,1,0,3.2e-5
google,Cristian Lopez,performance max digital hogar,1,0,1,0,3.2e-5
google,Daniel Obando,canal digital autos,1,0,1,0,3.2e-5
google,Erika Cardona,canal digital autos,1,0,1,0,3.2e-5
google,Jonny Ruz,performance max digital autos,1,0,1,0,3.2e-5
google,Julian Paez,performance max digital autos,1,0,1,0,3.2e-5
google,Nataly Chica,canal digital autos,1,0,1,0,3.2e-5
google,Sin dato,canal digital autos,1,0,1,0,3.2e-5
google,display,temas canal digital autos,1,0,1,0,3.2e-5
google,ivan pedrozo,performance max digital autos,1,0,1,0,3.2e-5
referidos,Cristian Lopez,Sin dato,1,0,1,0,3.2e-5
web,David Jimenez,quiero un seguro,1,0,1,0,3.2e-5
web,Luis Valderrama,quiero un seguro,1,0,1,0,3.2e-5
web,pmax,performance max digital hogar,1,0,1,0,3.2e-5
