regional,ventas,participacion
Bogota,138994,0.4251270083530358
Antioquia y eje,76103,0.23276861387319658
Occidente y centro,42062,0.12865082108109266
Oriente,35736,0.10930211930374036
Costa atlantica,30029,0.09184669074804173
Resto del pais,4023,0.012304746640892867
